,Sample,Compound,APE,Plasma_Glutamine_APE,Condition,FC_Gln_Substrate,Tissue
0,1,a-ketoglutarate,0.0330148462954181,0.10346535695772785,Exercise,0.31909082678665823,heart
1,2,a-ketoglutarate,0.04877411654143743,0.07938803593591716,Sedentary,0.6143761584026137,heart
2,3,a-ketoglutarate,0.029757653325096212,0.1294206661597859,Exercise,0.2299296874917696,heart
3,4,a-ketoglutarate,0.03156844332654153,0.07726959114141162,Exercise,0.40854937706047784,heart
4,5,a-ketoglutarate,0.03162011868886537,0.06733278000347986,Sedentary,0.46960958224554505,heart
5,6,a-ketoglutarate,0.028782090148790167,0.07230068379896054,Exercise,0.3980887681342229,heart
6,7,a-ketoglutarate,0.024551956923390177,0.10979942568510855,Sedentary,0.22360733464856378,heart
7,8,a-ketoglutarate,0.026417228379602975,0.06888971763403963,Exercise,0.3834712826076348,heart
8,9,a-ketoglutarate,0.039066418740819196,0.07486253314563235,Sedentary,0.5218420630360198,heart
9,10,a-ketoglutarate,0.03688072725974342,0.06796373840095314,Exercise,0.5426530106711464,heart
10,11,a-ketoglutarate,0.02658671531294172,0.09491749002750353,Sedentary,0.280103438315087,heart
11,12,a-ketoglutarate,0.028818297995134606,0.12044116634955242,Exercise,0.23927282397362554,heart
12,13,a-ketoglutarate,0.03318911706850959,0.11075127173367383,Sedentary,0.2996725595018018,heart
13,14,a-ketoglutarate,0.026532774994710538,0.09901828859596734,Exercise,0.26795832740529835,heart
14,15,a-ketoglutarate,0.03706421716270711,0.09203006205264677,Sedentary,0.40274032567210627,heart
15,1,aspartate,0.0065365110549710755,0.10346535695772785,Exercise,0.06317584210956383,heart
16,2,aspartate,0.0029545044272750193,0.07938803593591716,Sedentary,0.03721599095435395,heart
17,3,aspartate,0.0029932851481298964,0.1294206661597859,Exercise,0.023128339831246996,heart
18,4,aspartate,0.0031377739800940987,0.07726959114141162,Exercise,0.040608134891663095,heart
19,5,aspartate,0.0033627967534278465,0.06733278000347986,Sedentary,0.049942936460577625,heart
20,6,aspartate,0.003135258012929742,0.07230068379896054,Exercise,0.04336415436467583,heart
21,7,aspartate,0.002042757856274287,0.10979942568510855,Sedentary,0.018604449372373485,heart
22,8,aspartate,0.0017835350711395285,0.06888971763403963,Exercise,0.025889713768521127,heart
23,9,aspartate,0.0019595962552611907,0.07486253314563235,Sedentary,0.026175927702701815,heart
24,10,aspartate,0.0032221716733150533,0.06796373840095314,Exercise,0.04741015943392932,heart
25,11,aspartate,0.002751194793935748,0.09491749002750353,Sedentary,0.028985119530010272,heart
26,12,aspartate,0.0016261637086857662,0.12044116634955242,Exercise,0.013501726676792593,heart
27,13,aspartate,0.0008532258684148945,0.11075127173367383,Sedentary,0.007703982582400197,heart
28,14,aspartate,0.0022737068968336762,0.09901828859596734,Exercise,0.022962494394457512,heart
29,15,aspartate,0.0025193221520629504,0.09203006205264677,Sedentary,0.027374991343825733,heart
30,1,malate,0.0017159356326360612,0.10346535695772785,Exercise,0.016584639371969977,heart
31,2,malate,0.0009022691141014369,0.07938803593591716,Sedentary,0.01136530339193374,heart
32,3,malate,0.0006981853074458006,0.1294206661597859,Exercise,0.005394697216160239,heart
33,4,malate,0.0008075091316614565,0.07726959114141162,Exercise,0.010450542312093102,heart
34,5,malate,0.0008160406701085812,0.06733278000347986,Sedentary,0.012119515488093719,heart
35,6,malate,0.0008069998753214118,0.07230068379896054,Exercise,0.011161718436375478,heart
36,7,malate,0.0008082050782066475,0.10979942568510855,Sedentary,0.007360740488064863,heart
37,8,malate,0.0015891799287779463,0.06888971763403963,Exercise,0.023068463384043607,heart
38,9,malate,0.0010106816278382723,0.07486253314563235,Sedentary,0.013500499988053607,heart
39,10,malate,0.0008066069852601232,0.06796373840095314,Exercise,0.011868196250499534,heart
40,11,malate,0.000595163656953948,0.09491749002750353,Sedentary,0.006270326541309635,heart
41,12,malate,0.0012988638073938436,0.12044116634955242,Exercise,0.010784218110477226,heart
42,13,malate,0.0007680426867005997,0.11075127173367383,Sedentary,0.006934843046746496,heart
43,14,malate,0.0008476873441082059,0.09901828859596734,Exercise,0.008560916938961608,heart
