,Condition,Mouse,Compound,value,Tissue
0,Exercise,1,glutamate,22.615493114359023,heart
1,Sedentary,2,glutamate,20.876234214149967,heart
2,Exercise,3,glutamate,25.57128994467797,heart
3,Exercise,5,glutamate,22.53954881236913,heart
4,Sedentary,6,glutamate,23.236005192152074,heart
5,Exercise,7,glutamate,21.435700391285508,heart
6,Sedentary,8,glutamate,23.31096818677361,heart
7,Exercise,9,glutamate,21.578230661574736,heart
8,Sedentary,10,glutamate,22.327263297992467,heart
9,Exercise,11,glutamate,23.08531236165292,heart
10,Sedentary,12,glutamate,22.662963217883544,heart
11,Exercise,13,glutamate,22.69608064189694,heart
12,Sedentary,14,glutamate,23.90327700299344,heart
13,Exercise,15,glutamate,23.41973959204457,heart
14,Sedentary,16,glutamate,20.84818103691099,heart
75,Exercise,1,phosphoenolpyruvate,7.7886777116061,heart
76,Sedentary,2,phosphoenolpyruvate,7.694704489475647,heart
77,Exercise,3,phosphoenolpyruvate,8.125325176588733,heart
78,Exercise,5,phosphoenolpyruvate,8.034748123127372,heart
79,Sedentary,6,phosphoenolpyruvate,8.044301115193923,heart
80,Exercise,7,phosphoenolpyruvate,8.182161720768331,heart
81,Sedentary,8,phosphoenolpyruvate,8.218068540472382,heart
82,Exercise,9,phosphoenolpyruvate,7.575348247063064,heart
83,Sedentary,10,phosphoenolpyruvate,7.769014851034239,heart
84,Exercise,11,phosphoenolpyruvate,7.9555963507678005,heart
85,Sedentary,12,phosphoenolpyruvate,8.024022303580185,heart
86,Exercise,13,phosphoenolpyruvate,8.13410304960648,heart
87,Sedentary,14,phosphoenolpyruvate,8.09911514010838,heart
88,Exercise,15,phosphoenolpyruvate,8.120420879635521,heart
89,Sedentary,16,phosphoenolpyruvate,7.436322733728751,heart
90,Exercise,1,pyruvate,13.703847677438514,heart
91,Sedentary,2,pyruvate,13.062588914715334,heart
92,Exercise,3,pyruvate,12.737944764982046,heart
93,Exercise,5,pyruvate,13.082752401299484,heart
94,Sedentary,6,pyruvate,11.542831984322778,heart
95,Exercise,7,pyruvate,13.603592183455612,heart
96,Sedentary,8,pyruvate,10.991961203958232,heart
97,Exercise,9,pyruvate,15.262508974974512,heart
98,Sedentary,10,pyruvate,11.905481459921956,heart
99,Exercise,11,pyruvate,12.845624856179732,heart
100,Sedentary,12,pyruvate,12.81746281045956,heart
101,Exercise,13,pyruvate,13.253445923179832,heart
102,Sedentary,14,pyruvate,12.522917291474853,heart
103,Exercise,15,pyruvate,13.058317896345978,heart
104,Sedentary,16,pyruvate,12.327960174310785,heart
105,Exercise,1,lactate,52.351924332396806,heart
106,Sedentary,2,lactate,54.07803310176536,heart
107,Exercise,3,lactate,39.509020062924584,heart
