Mouse,Glucose Turnover,Condition,Glutamine Turnover
1,230.4132818,Exercise,81.36229141
2,225.1768077,Sedentary,102.9833043
3,155.5683614,Exercise,60.16364819
5,224.0793834,Exercise,98.73153555
6,215.0592237,Sedentary,90.38141739
7,237.4491503,Exercise,119.9558822
8,148.6162047,Sedentary,68.45046678
9,294.330449,Exercise,107.3870853
10,256.1988125,Sedentary,114.702771
11,201.7622979,Exercise,101.8747665
12,208.4361009,Sedentary,78.7095023
13,207.0601022,Exercise,90.92181196
14,143.9323969,Sedentary,66.88942757
15,191.8787706,Exercise,84.06065991
16,152.3781166,Sedentary,90.21428131
